method,n_clusters_requested,n_clusters_found,random_state,fit_time_ms,int_silhouette,int_calinski_harabasz,int_davies_bouldin,int_dunn,int_wcss,int_bcss,ext_ari,ext_nmi,ext_fmi,ext_homogeneity,ext_completeness,ext_v_measure,dataset,true_k,seed,k_type
isodata,10,4,42,5.135147999681067,0.7353461757659788,3044.5220657753894,0.3351214167051285,0.7178471346588922,51.508031601436414,948.4919683985639,0.7812362998684788,0.9057460992755196,0.8439373293244814,0.8277293767706432,1.0000000000000004,0.9057460992755196,blobs,5,42,adaptive
adaptive,10,5,42,34.632846000022255,0.6805013267956803,3901.2055218837218,0.44627975727672037,0.5111725988739849,30.745681368941867,969.2543186310584,0.9431476995035252,0.9437859088970089,0.9544279281318382,0.9437624510467686,0.9438093679133994,0.9437859088970089,blobs,5,42,adaptive
kmeans,5,5,42,12.21773199904419,0.681110507591103,3908.1214531753913,0.44589785464865556,0.5131140784415389,30.692942827464876,969.3070571725352,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,42,oracle
bisecting_kmeans,5,5,42,4.603818000759929,0.681110507591103,3908.1214531753913,0.44589785464865556,0.5131140784415389,30.692942827464876,969.3070571725352,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,42,oracle
gmm,5,5,42,142.74660400042194,0.680005361002672,3896.343294065671,0.4466427891625594,0.5098115142066387,30.782867696795915,969.2171323032043,0.9387422700601216,0.9406300299697005,0.9508978322702113,0.9405774219100033,0.9406826439146394,0.9406300299697004,blobs,5,42,oracle
isodata,10,3,7,2.8678509988822043,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,5,7,adaptive
adaptive,10,5,7,30.07871899899328,0.6805013267956803,3901.2055218837213,0.4462797572767204,0.5111725988739849,30.745681368941867,969.2543186310583,0.9431476995035252,0.9437859088970089,0.9544279281318382,0.9437624510467686,0.9438093679133994,0.9437859088970089,blobs,5,7,adaptive
kmeans,5,5,7,19.334329999765032,0.681110507591103,3908.1214531753913,0.44589785464865556,0.5131140784415389,30.692942827464876,969.3070571725352,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,7,oracle
bisecting_kmeans,5,5,7,5.13304999913089,0.681110507591103,3908.1214531753913,0.44589785464865556,0.5131140784415389,30.692942827464876,969.3070571725352,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,7,oracle
gmm,5,5,7,115.45699999987846,0.680005361002672,3896.3432940656717,0.4466427891625594,0.5098115142066387,30.782867696795915,969.2171323032044,0.9387422700601216,0.9406300299697005,0.9508978322702113,0.9405774219100033,0.9406826439146394,0.9406300299697004,blobs,5,7,oracle
isodata,10,3,13,7.627495000633644,0.7072907134227534,1715.3893633982004,0.45076206934908797,0.8886950775490883,126.53462289240676,873.4653771075934,0.6134779240898528,0.7918756684685222,0.7436885273407975,0.6554587535412861,1.0000000000000004,0.7918756684685222,blobs,5,13,adaptive
adaptive,10,5,13,31.63780200156907,0.6805919277629237,3901.1600373711913,0.4466168920329349,0.48145275230877593,30.746028818280234,969.25397118172,0.9521161616161616,0.9506622177066427,0.9616161616161616,0.9506622177066427,0.9506622177066427,0.9506622177066427,blobs,5,13,adaptive
kmeans,5,5,13,9.706150000056368,0.681110507591103,3908.1214531753913,0.44589785464865556,0.5131140784415389,30.692942827464876,969.3070571725352,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,13,oracle
bisecting_kmeans,5,5,13,4.675012000006973,0.681110507591103,3908.1214531753917,0.44589785464865567,0.5131140784415389,30.692942827464872,969.3070571725352,0.9476057964977401,0.9471199966849918,0.9580008486631904,0.9471141117994964,0.9471258816436188,0.9471199966849917,blobs,5,13,oracle
gmm,5,5,13,41.40556999846012,0.680005361002672,3896.343294065671,0.4466427891625594,0.5098115142066387,30.782867696795915,969.2171323032043,0.9387422700601216,0.9406300299697005,0.9508978322702113,0.9405774219100033,0.9406826439146394,0.9406300299697004,blobs,5,13,oracle
