dataset,sigma_factor,strategy,seed,fit_time_ms,train_accuracy,val_accuracy,test_accuracy,train_f1,val_f1,test_f1,tree_depth,n_leaves,n_nodes,interpretability_score,overfitting_gap
iris,0.0,none,42,0.7106180000846507,1.0,0.9333333333333333,1.0,1.0,0.9333333333333332,1.0,6,7,13,0.125,0.0
iris,0.0,pre_depth,42,0.6324080000013055,0.9777777777777777,0.9333333333333333,1.0,0.9777530589543938,0.9333333333333332,1.0,3,4,7,0.2,-0.022222222222222254
iris,0.0,pre_samples,42,0.6102029997236968,0.9777777777777777,0.9333333333333333,1.0,0.9777530589543938,0.9333333333333332,1.0,3,4,7,0.2,-0.022222222222222254
iris,0.0,ccp,42,1.0867840001083096,1.0,0.9333333333333333,1.0,1.0,0.9333333333333332,1.0,6,7,13,0.125,0.0
iris,0.0,combined,42,0.6193819999680272,0.9777777777777777,0.9333333333333333,1.0,0.9777530589543938,0.9333333333333332,1.0,3,4,7,0.2,-0.022222222222222254
iris,0.0,none,7,0.6891400003041781,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,0.0,pre_depth,7,1.3318729997990886,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,0.0,pre_samples,7,0.6350109997583786,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,0.0,ccp,7,0.6390549997377093,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,0.0,combined,7,1.1072520001107478,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,0.3,none,42,2.428083999802766,1.0,0.9666666666666667,0.8333333333333334,1.0,0.9665831244778613,0.825481707834649,5,9,17,0.1,0.16666666666666663
iris,0.3,pre_depth,42,0.6772019996788003,0.9666666666666667,0.9666666666666667,0.8333333333333334,0.9665831244778612,0.9665831244778613,0.825481707834649,3,5,9,0.16666666666666666,0.1333333333333333
iris,0.3,pre_samples,42,0.6986329999563168,0.9555555555555556,0.9666666666666667,0.8666666666666667,0.9553571428571429,0.9665831244778613,0.8573153899240856,4,6,11,0.14285714285714285,0.0888888888888889
iris,0.3,ccp,42,0.7849779999560269,1.0,0.9666666666666667,0.8333333333333334,1.0,0.9665831244778613,0.825481707834649,5,9,17,0.1,0.16666666666666663
iris,0.3,combined,42,0.7904419999249512,0.9666666666666667,0.9666666666666667,0.8333333333333334,0.9665831244778612,0.9665831244778613,0.825481707834649,3,5,9,0.16666666666666666,0.1333333333333333
iris,0.3,none,7,0.7609369999954652,1.0,0.8,0.7666666666666667,1.0,0.8010835913312694,0.7641228070175439,6,10,19,0.09090909090909091,0.23333333333333328
iris,0.3,pre_depth,7,0.6473680000453896,0.9333333333333333,0.8333333333333334,0.8,0.9330357142857143,0.8359182981608612,0.8010835913312694,2,3,5,0.25,0.1333333333333333
iris,0.3,pre_samples,7,0.6931470002200513,0.9777777777777777,0.8666666666666667,0.8,0.9777530589543938,0.8692185007974481,0.8010835913312694,5,8,15,0.1111111111111111,0.1777777777777777
iris,0.3,ccp,7,0.7059949998620141,0.9333333333333333,0.8333333333333334,0.8,0.9330357142857143,0.8359182981608612,0.8010835913312694,2,3,5,0.25,0.1333333333333333
iris,0.3,combined,7,0.7034200002635771,0.9333333333333333,0.8333333333333334,0.8,0.9330357142857143,0.8359182981608612,0.8010835913312694,2,3,5,0.25,0.1333333333333333
