dataset,noise_rate,strategy,seed,fit_time_ms,train_accuracy,val_accuracy,test_accuracy,train_f1,val_f1,test_f1,tree_depth,n_leaves,n_nodes,interpretability_score,overfitting_gap
iris,0.0,none,42,0.7266430002346169,1.0,0.9333333333333333,1.0,1.0,0.9333333333333332,1.0,6,7,13,0.125,0.0
iris,0.0,pre_depth,42,0.7346010002038383,0.9777777777777777,0.9333333333333333,1.0,0.9777530589543938,0.9333333333333332,1.0,3,4,7,0.2,-0.022222222222222254
iris,0.0,pre_samples,42,0.6405159997484589,0.9777777777777777,0.9333333333333333,1.0,0.9777530589543938,0.9333333333333332,1.0,3,4,7,0.2,-0.022222222222222254
iris,0.0,ccp,42,0.9879009999167465,1.0,0.9333333333333333,1.0,1.0,0.9333333333333332,1.0,6,7,13,0.125,0.0
iris,0.0,combined,42,0.6309579998742265,0.9777777777777777,0.9333333333333333,1.0,0.9777530589543938,0.9333333333333332,1.0,3,4,7,0.2,-0.022222222222222254
iris,0.0,none,7,0.722287999906257,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,0.0,pre_depth,7,0.6767190002392454,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,0.0,pre_samples,7,1.1201470001651614,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,0.0,ccp,7,3.605169000366004,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,0.0,combined,7,1.0520380001253216,1.0,0.9,0.9666666666666667,1.0,0.899749373433584,0.9665831244778612,3,4,7,0.2,0.033333333333333326
iris,0.1,none,42,1.209767000091233,0.9888888888888889,0.7666666666666667,0.6666666666666666,0.988419686532894,0.7657428595643698,0.6585303839308416,8,17,33,0.05555555555555555,0.3222222222222223
iris,0.1,pre_depth,42,1.2005250000584056,0.9222222222222223,0.8666666666666667,0.7333333333333333,0.921395637935673,0.869023569023569,0.7331296154825567,2,4,7,0.2,0.188888888888889
iris,0.1,pre_samples,42,5.800230000204465,0.9111111111111111,0.8666666666666667,0.7333333333333333,0.9102011494252874,0.869023569023569,0.7331296154825567,3,7,13,0.125,0.1777777777777778
iris,0.1,ccp,42,0.7256220001181646,0.9444444444444444,0.8,0.6333333333333333,0.9436063218390803,0.8013366750208855,0.6204655248133509,3,6,11,0.14285714285714285,0.3111111111111111
iris,0.1,combined,42,0.7973060000949772,0.9444444444444444,0.8333333333333334,0.7,0.9436063218390803,0.8341307814992026,0.6961636828644502,3,6,11,0.14285714285714285,0.24444444444444446
iris,0.1,none,7,0.6966599999032042,1.0,0.7333333333333333,0.6,1.0,0.738218094255246,0.6019426289034132,7,20,39,0.047619047619047616,0.4
iris,0.1,pre_depth,7,0.6534869999086368,0.9555555555555556,0.8,0.8,0.9557789256518839,0.8016835016835017,0.7995822890559733,4,12,23,0.07692307692307693,0.15555555555555556
iris,0.1,pre_samples,7,0.6286860002546746,0.8888888888888888,0.8,0.9,0.889367816091954,0.8038277511961723,0.8995215311004784,4,8,15,0.1111111111111111,-0.011111111111111183
iris,0.1,ccp,7,0.7476189998669724,0.9222222222222223,0.8,0.8666666666666667,0.9212301587301588,0.8016835016835017,0.8664160401002506,4,6,11,0.14285714285714285,0.05555555555555558
iris,0.1,combined,7,0.7330430003094079,0.9,0.8,0.8666666666666667,0.8995427017673959,0.8016835016835017,0.8664160401002506,3,4,7,0.2,0.033333333333333326
