M,train_accuracy,test_accuracy,depth,leaves
1,1.0,0.9510978043912176,12,181
2,0.9905378486055777,0.950499001996008,11,146
3,0.9863877822045153,0.9469061876247505,10,125
4,0.9824037184594954,0.9467065868263473,10,116
5,0.976925630810093,0.9447105788423154,11,105
6,0.9744355909694555,0.9449101796407186,10,103
7,0.9726095617529881,0.9429141716566867,10,91
8,0.9711155378486056,0.9407185628742515,10,88
9,0.9686254980079682,0.9403193612774451,10,82
10,0.9672974767596282,0.9385229540918164,10,78
11,0.9676294820717132,0.9383233532934132,9,76
12,0.9669654714475432,0.937125748502994,9,75
13,0.9638114209827358,0.9355289421157684,9,74
14,0.9619853917662683,0.9369261477045908,9,70
15,0.9619853917662683,0.9369261477045908,9,70
16,0.9578353253652059,0.9317365269461078,10,68
17,0.9553452855245684,0.9289421157684631,10,66
18,0.9546812749003984,0.9297405189620759,9,64
19,0.952191235059761,0.9283433133732535,9,60
20,0.9516932270916335,0.9271457085828343,9,60
21,0.9513612217795485,0.9263473053892216,9,60
22,0.9506972111553785,0.9233532934131736,9,59
23,0.9492031872509961,0.9207584830339322,9,58
24,0.9500332005312085,0.9223552894211576,8,54
25,0.9497011952191236,0.9213572854291417,8,55
26,0.9477091633466136,0.9213572854291417,8,54
27,0.9457171314741036,0.9203592814371258,9,54
28,0.9430610889774237,0.9163672654690619,9,53
29,0.9407370517928287,0.9145708582834331,9,51
30,0.9394090305444888,0.9135728542914172,9,49
